NOME_PRODUTO,URL,CATEGORIA,PORCAO,CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Jasmine Cookies Integrais Quinoa e Amaranto,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-quinoa-e-amaranto/9-unidades,Produto Jasmine Alimentos,30,107,19.0,2.2,2.5,1.0,1.3,0.0,73
Jasmine Amaranto em Flocos,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/amaranto-em-flocos/1-2-x%C3%ADcara,Produto Jasmine Alimentos,45,168,29.0,6.1,3.1,0.8,3.0,0.0,0
Jasmine Açúcar Mascavo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/a%C3%A7%C3%BAcar-mascavo/1-colher-de-ch%C3%A1,Produto Jasmine Alimentos,5,20,4.9,0.0,0.0,0.0,0.0,0.0,0
Jasmine Cookies Integrais Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-chocolate/6-unidades,Produto Jasmine Alimentos,30,123,21.0,2.5,3.2,1.0,2.1,0.0,39
Jasmine Aveia Flocos Finos,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/aveia-flocos-finos/100g,Produto Jasmine Alimentos,100,350,57.0,14.0,7.3,1.1,9.2,1.5,0
Jasmine Sou Sweet Cacau e Cereais,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/sou-sweet-cacau-e-cereais/1-pacote-(3-biscoitos),Produto Jasmine Alimentos,25,102,15.0,2.0,3.8,1.1,2.6,0.0,52
Jasmine Granola Zero Açúcar Tradicional,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-zero-a%C3%A7%C3%BAcar-tradicional/100g,Produto Jasmine Alimentos,100,390,54.0,12.0,14.0,3.3,15.0,0.0,39
Jasmine Granola Cranberry e Gojiberry,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-cranberry-e-gojiberry/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Jasmine Alimentos,40,152,22.0,5.0,5.0,0.9,5.0,0.1,13
Jasmine Bites Orgânico Mediterrâneo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/bites-org%C3%A2nico-mediterr%C3%A2neo/1-pacote,Produto Jasmine Alimentos,25,96,14.0,2.0,3.6,1.2,1.2,0.0,160
Jasmine Farelo de Aveia,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/farelo-de-aveia/1-colher-de-sopa,Produto Jasmine Alimentos,10,30,4.7,1.9,0.4,0.0,1.7,0.2,0
Jasmine Farelo de Trigo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/farelo-de-trigo/1-colher-de-sopa,Produto Jasmine Alimentos,10,15,2.2,1.6,0.0,0.0,4.3,0.0,0
Jasmine Agave,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/agave/2-colheres-de-sopa,Produto Jasmine Alimentos,20,80,20.0,0.0,0.0,0.0,0.0,0.0,0
Jasmine Granola Integral Light Soja e Linhaça com Frutas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-integral-light-soja-e-linha%C3%A7a-com-frutas/1-2-x%C3%ADcara,Produto Jasmine Alimentos,40,185,30.0,9.7,2.9,0.8,4.0,0.0,30
Jasmine Granola Castanha de Caju,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-castanha-de-caju/100g,Produto Jasmine Alimentos,100,385,55.0,12.0,13.0,3.9,9.0,12.0,55
Jasmine Bolo de Chocolate sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/bolo-de-chocolate-sem-gl%C3%BAten/100g,Produto Jasmine Alimentos,100,256,38.0,3.4,10.0,5.0,1.2,0.0,300
Jasmine Pão sem Glúten com Frutas e Castanhas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-sem-gl%C3%BAten-com-frutas-e-castanhas/2-fatias-em-m%C3%A9dia,Produto Jasmine Alimentos,50,99,17.0,1.7,2.6,0.8,1.1,0.4,275
Jasmine Wrap Espinafre,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/wrap-espinafre/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,40,90,20.0,1.7,1.5,0.0,1.7,0.0,80
Jasmine Sou Sweet Granola e Mel,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/sou-sweet-granola-e-mel/3-biscoitos,Produto Jasmine Alimentos,25,102,15.0,1.9,3.8,1.0,2.5,3.5,53
Jasmine Cookies Integrais de Laranja,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-de-laranja/6-unidades,Produto Jasmine Alimentos,30,123,21.0,2.5,3.2,0.7,2.0,0.0,40
Jasmine Cookies Integral Café,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integral-caf%C3%A9/6-unidades,Produto Jasmine Alimentos,30,92,18.0,2.5,1.1,1.0,2.5,4.5,53
Jasmine Pão com Frutas e Castanhas sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-com-frutas-e-castanhas-sem-gl%C3%BAten/2-fatias,Produto Jasmine Alimentos,50,115,20.0,2.1,3.0,1.2,1.1,0.0,150
Jasmine Granola Zero Açucar,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-zero-a%C3%A7ucar/1-colher-de-sopa,Produto Jasmine Alimentos,40,156,21.0,4.9,5.6,1.3,5.1,0.0,15
Jasmine Molho de Tomate com Manjericão,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/molho-de-tomate-com-manjeric%C3%A3o/3-colheres-de-sopa,Produto Jasmine Alimentos,60,19,3.6,1.2,0.0,0.0,1.3,0.0,88
Jasmine Linhaça Dourada Integral,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/linha%C3%A7a-dourada-integral/1-colher-de-sopa,Produto Jasmine Alimentos,15,77,4.5,3.0,5.2,0.4,3.9,0.0,5
Jasmine Rosquinhas Integrais Maçã e Banana,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/rosquinhas-integrais-ma%C3%A7%C3%A3-e-banana/1-colher-de-sopa,Produto Jasmine Alimentos,30,124,21.0,2.0,3.6,0.5,1.8,0.0,67
Jasmine Cookies Integrais Limão,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-lim%C3%A3o/5-unidades,Produto Jasmine Alimentos,30,124,21.0,2.7,3.2,1.0,2.0,0.0,40
Jasmine Cookies Integrais Amêndoas e Castanhas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-am%C3%AAndoas-e-castanhas/6-unidades,Produto Jasmine Alimentos,30,102,13.0,2.5,4.5,1.1,2.7,0.1,63
